'label', 'text'
0,"I love you"
1,"hello, this is a training for NLP."
0, "The weather is nice today."
1, "Artificial Intelligence is transforming industries."
0, "Python is a great programming language."
1, "This movie was really interesting and full of action!"
0, "Let's grab a coffee tomorrow morning."
1, "Natural Language Processing is a fascinating field of study."
0, "I really enjoy reading books about history."
1, "Data science is at the intersection of programming and statistics."
0, "That concert last night was amazing!"
1, "Machine learning models need large amounts of data to perform well."
0, "Do you want to go for a walk in the park?"
1, "Neural networks have revolutionized image recognition."
0, "I can't wait for the weekend!"
1, "Cloud computing has made it easier to deploy machine learning models."
0, "Your presentation was really well done!"
1, "Transformers are powerful models in modern NLP."
0, "I'm feeling quite tired after the long day."
1, "Deep learning has many applications in computer vision."
